UID          PID    PPID  C STIME TTY          TIME CMD
foleyjo     1002     979  0 13:27 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
foleyjo     1003     979  0 13:27 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
foleyjo     1028     972  0 13:27 ?        00:00:00 xfce4-session
foleyjo     1067     979  0 13:27 ?        00:00:00 /usr/libexec/xdg-permission-store
foleyjo     1078    1028  0 13:27 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
foleyjo     1088     979  0 13:27 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
foleyjo     1095    1088  0 13:27 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
foleyjo     1107     979  0 13:27 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
foleyjo     1119     979  0 13:27 ?        00:00:00 /usr/bin/gpg-agent --supervised
foleyjo     1121    1028  0 13:27 ?        00:00:03 xfwm4 --display :0.0 --sm-client-id 20ce92082-c023-45e3-967a-35f7da7e627a
foleyjo     1125     979  0 13:27 ?        00:00:00 /usr/libexec/gvfsd
foleyjo     1131     979  0 13:27 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
foleyjo     1155    1028  0 13:27 ?        00:00:00 xfsettingsd --display :0.0 --sm-client-id 2b107020f-2f43-4825-9dea-f0e416084e6c
root        1159       1  0 13:27 ?        00:00:00 /usr/libexec/upowerd
foleyjo     1165    1028  0 13:27 ?        00:00:00 xfce4-panel --display :0.0 --sm-client-id 2f7d9549d-8283-4e0a-b695-bd22ddc067f0
foleyjo     1170    1028  0 13:27 ?        00:00:00 Thunar --sm-client-id 2e871d61c-cc7c-40fc-ac57-ca08f4b2e170 --daemon
foleyjo     1176    1028  0 13:27 ?        00:00:01 xfdesktop --display :0.0 --sm-client-id 2d21c5b04-53b2-47ec-84a6-73b0a71ec030
foleyjo     1177    1165  0 13:27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
foleyjo     1184    1165  0 13:27 ?        00:00:02 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph CPU Graph Graphical representation of the CPU load
foleyjo     1185    1165  0 13:27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
foleyjo     1186    1165  0 13:27 ?        00:00:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
foleyjo     1187    1165  0 13:27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
foleyjo     1188    1165  0 13:27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
foleyjo     1189    1165  0 13:27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
foleyjo     1199    1165  0 13:27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Action Buttons Log out, lock or other system actions
foleyjo     1216     979  0 13:27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
foleyjo     1260    1028  0 13:27 ?        00:00:00 xfce4-power-manager --restart --sm-client-id 25d599f13-8f1a-4a42-966c-964788e9b932
foleyjo     1269    1028  0 13:27 ?        00:00:00 xiccd
foleyjo     1270       1  0 13:27 ?        00:00:00 xcape -e Super_L Control_L Escape
foleyjo     1272    1028  0 13:27 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
foleyjo     1273    1028  0 13:27 ?        00:00:00 nm-applet
foleyjo     1276    1028  0 13:27 ?        00:00:00 light-locker
foleyjo     1286       1  0 13:27 ?        00:00:01 /usr/bin/vmtoolsd -n vmusr --blockFd 3
foleyjo     1292    1028  0 13:27 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
colord      1303       1  0 13:27 ?        00:00:00 /usr/libexec/colord
foleyjo     1335    1028  0 13:27 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
foleyjo     1356     979  0 13:27 ?        00:00:00 /usr/libexec/dconf-service
foleyjo     1412     979  0 13:27 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1443       1  0 13:27 ?        00:00:00 /usr/libexec/udisks2/udisksd
foleyjo     1469     979  0 13:27 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
foleyjo     1478     979  0 13:27 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
foleyjo     1483     979  0 13:27 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
foleyjo     1490     979  0 13:27 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
foleyjo     1507    1125  0 13:27 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.21 /org/gtk/gvfs/exec_spaw/0
foleyjo     1514     979  0 13:27 ?        00:00:00 /usr/libexec/gvfsd-metadata
foleyjo     1526     979  0 13:27 ?        00:00:00 /usr/libexec/bluetooth/obexd
root        1555       2  0 13:27 ?        00:00:00 [kworker/3:5-ata_sff]
foleyjo     1567       1  0 13:27 ?        00:00:03 /usr/bin/qterminal
foleyjo     1570    1567  0 13:27 pts/0    00:00:02 /usr/bin/zsh
root        4103       2  0 13:32 ?        00:00:00 [kworker/2:0-mm_percpu_wq]
foleyjo     4238     979  0 13:32 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
root        4447       2  0 13:32 ?        00:00:00 [kworker/3:1-ata_sff]
foleyjo     5304    1570 99 13:33 pts/0    00:00:00 ps -ef
